id,handle,nexternal_id,internal_memo,author,price,related_ids
11141917322,70-basic-phonograms-audio-cd,184,,,8.94,"11142535434,11142536074,11142573450"
11141917706,a-biblical-home-education-building-your-homeschool-on-the-foundation-of-gods-word,185,,Dr. Ruth Beechick,11.97,"11142219786,11142027786,11142705994"
11142259722,history-of-us-source-and-index-book-11,191,Old data from V-Cart System: Web Special $12.54 Clearance $12.54 Old Promo Pages: Notes from V-Cart system: ,,14.87,"11142250186,11142173322,11142273162"
11141918986,a-lantern-in-her-hand,192,Old data from V-Cart System: Web Special $6.47 Clearance $6.47 Old Promo Pages: Notes from V-Cart system: ,,6.47,"11142375050,11141927434,11142190666"
11141921674,a-reason-for-spelling-student-workbook-level-a,195,Old data from V-Cart System: Web Special $9.95 Clearance $9.95 Old Promo Pages: Notes from V-Cart system: ,,16.94,"11142335498,11142566858,11142270922"
11141921930,a-reason-for-spelling-student-workbook-level-b,196,Old data from V-Cart System: Web Special $9.95 Clearance $9.95 Old Promo Pages: Notes from V-Cart system: ,,16.94,"11141916106,11142273930,11141948042"
11141922122,a-reason-for-spelling-student-workbook-level-c,197,Old data from V-Cart System: Web Special $9.95 Clearance $9.95 Old Promo Pages: Notes from V-Cart system: ,,16.94,"11141923274,11142275658,11142380938"
11141922314,a-reason-for-spelling-student-workbook-level-d,198,Old data from V-Cart System: Web Special $9.95 Clearance $9.95 Old Promo Pages: Notes from V-Cart system: ,,16.94,"11141923530,11142569994,11142681290"
11141922570,a-reason-for-spelling-student-workbook-level-e,199,Old data from V-Cart System: Web Special $9.95 Clearance $9.95 Old Promo Pages: Notes from V-Cart system: ,,16.94,"11141923722,11142199498,11141935498"
11141922826,a-reason-for-spelling-student-workbook-level-f,200,Old data from V-Cart System: Web Special $9.95 Clearance $9.95 Old Promo Pages: Notes from V-Cart system: ,,16.94,"11142233290,11142238730,11142274634"
